timestamp,RH X ,RH Y,RH Z,RS X, RS Y,RS Z,RE X,RE Y,RE Z,RW X,RW Y,RW Z,LS X,LS Y,LS Z,LC X,LC Y,LC Z
1676113672965675,1.66954,-0.693076,3.02749,1.69808,-0.575926,3.25779,1.67961,-0.348567,3.07619,1.67994,-0.648649,3.09129,1.49164,-0.512927,3.35974,1.67983,-0.454032,3.39569
1676113743298204,-1.56022,0.884628,3.33755,-1.53227,1.04442,3.23786,-1.55412,0.903426,3.08978,-1.5587,0.889327,3.27334,-1.57053,0.854678,3.04772,-1.54413,1.00448,3.10632
1676113743332848,-1.56003,0.866105,3.33983,-1.53547,1.00182,3.24859,-1.55796,0.871131,3.07407,-1.55951,0.867361,3.27122,-1.56964,0.869671,3.05192,-1.54586,0.980879,3.11846
1676113743357974,-1.57433,0.57533,2.98142,-1.53394,0.981217,3.19402,-1.56141,0.83784,3.04259,-1.57225,0.644633,2.98993,-1.5699,0.872174,3.05202,-1.54836,0.975701,3.11985
1676113743393889,-1.57655,0.587553,2.97729,-1.53482,0.978629,3.19686,-1.55866,0.836442,3.05186,-1.57513,0.655505,2.97803,-1.56945,0.871733,3.04901,-1.54761,0.969957,3.1205
1676113743424969,-1.5832,0.625158,2.96521,-1.53629,0.97602,3.20374,-1.55817,0.841798,3.05898,-1.58314,0.690974,2.96747,-1.56825,0.872738,3.04113,-1.54704,0.968631,3.11819
1676113743455738,-1.57451,0.611074,2.98535,-1.5364,0.976246,3.20351,-1.5577,0.844978,3.06218,-1.57386,0.675323,2.98814,-1.56665,0.8783,3.03731,-1.54737,0.963531,3.11981
1676113743500544,-1.56816,0.655163,3.01621,-1.53872,1.04281,3.21995,-1.55556,0.89838,3.0866,-1.56499,0.720711,3.02111,-1.56671,0.863384,3.0358,-1.54741,0.962006,3.11935
1676113743530502,-1.56742,0.631179,2.98168,-1.54191,0.983536,3.20621,-1.55982,0.855839,3.05494,-1.57459,0.669881,3.03442,-1.5658,0.842095,3.02949,-1.54754,0.959768,3.11978
1676113743560469,-1.56584,0.633878,2.98352,-1.54125,0.97977,3.2094,-1.55941,0.855163,3.05576,-1.57421,0.669343,3.03819,-1.56381,0.844264,3.03214,-1.54801,0.957972,3.12036
1676113743592387,-1.56546,0.622072,2.98125,-1.54185,0.966412,3.20925,-1.56016,0.847749,3.05159,-1.57755,0.663107,3.03112,-1.56425,0.843012,3.03119,-1.54954,0.947349,3.11638
1676113743627271,-1.56558,0.639363,2.98659,-1.542,0.972049,3.21336,-1.55974,0.852683,3.05646,-1.57715,0.667724,3.04496,-1.56439,0.842115,3.03054,-1.54965,0.946739,3.11614
1676113743657206,-1.57439,0.607671,3.00278,-1.53896,0.972388,3.20508,-1.55903,0.851989,3.05289,-1.57256,0.671069,3.01919,-1.56444,0.841974,3.02983,-1.54994,0.94243,3.11474
1676113743694167,-1.5783,0.588722,2.99439,-1.53779,0.971805,3.20377,-1.55928,0.8265,3.07513,-1.58143,0.652988,3.00561,-1.56427,0.840849,3.03011,-1.54936,0.942484,3.11358
1676113743724564,-1.57679,0.59264,2.99521,-1.53548,0.976484,3.20935,-1.55697,0.831075,3.07838,-1.57932,0.657127,3.00558,-1.56292,0.83851,3.02993,-1.54806,0.941293,3.1127
1676113743762407,-1.57608,0.592759,2.99195,-1.53754,0.97129,3.21766,-1.55778,0.832864,3.07643,-1.57925,0.657348,3.00398,-1.56245,0.803039,3.04244,-1.54897,0.939484,3.11308
1676113743793634,-1.57593,0.590967,2.98828,-1.53703,0.973383,3.21346,-1.55798,0.831678,3.07445,-1.5782,0.656113,2.99883,-1.56103,0.804585,3.04149,-1.54852,0.940333,3.11249
1676113743823191,-1.57546,0.594549,3.00004,-1.5363,0.982155,3.22174,-1.55716,0.839646,3.0809,-1.57656,0.658012,3.01708,-1.56052,0.833664,3.04577,-1.54874,0.93975,3.11311
1676113743855923,-1.57475,0.59584,3.01353,-1.53645,0.982475,3.22083,-1.55751,0.842006,3.07978,-1.57518,0.656247,3.0383,-1.562,0.870006,3.05265,-1.54623,0.950847,3.11458
1676113743897411,-1.57133,0.619457,3.01567,-1.5265,1.02834,3.19043,-1.55241,0.868592,3.07248,-1.57149,0.679489,3.04149,-1.56174,0.853125,3.04724,-1.54032,0.985985,3.10943
1676113743927132,-1.56868,0.599667,3.00432,-1.53163,1.00376,3.2099,-1.55499,0.848491,3.08115,-1.56807,0.663559,3.01798,-1.56167,0.851726,3.04598,-1.54037,0.98593,3.10981
1676113743957840,-1.58123,0.611883,2.99396,-1.5355,0.994505,3.21539,-1.55816,0.862469,3.05946,-1.5844,0.6756,3.00705,-1.56181,0.846546,3.04275,-1.5462,0.953736,3.11469
1676113743992555,-1.57154,0.615762,3.01589,-1.53572,1.002,3.22871,-1.55728,0.868481,3.07264,-1.57087,0.675324,3.04274,-1.56205,0.8495,3.04577,-1.54351,0.96468,3.11584
1676113744024573,-1.5716,0.629873,2.99576,-1.53325,1.01681,3.23154,-1.55562,0.8789,3.07847,-1.577,0.693284,3.01156,-1.56176,0.848997,3.04444,-1.54306,0.960983,3.11199
1676113744074348,-1.57575,0.649191,2.96229,-1.53418,1.02426,3.22009,-1.55619,0.87798,3.07446,-1.57329,0.71462,2.95794,-1.56168,0.849254,3.04395,-1.54534,0.972119,3.12556
1676113744099991,-1.57487,0.625998,2.98858,-1.52842,1.03164,3.20422,-1.55445,0.877573,3.06729,-1.58017,0.687328,3.01181,-1.56227,0.85337,3.0457,-1.54525,0.966135,3.129
1676113744132471,-1.58494,0.639529,3.00905,-1.53621,1.00856,3.24132,-1.55644,0.873228,3.08459,-1.5792,0.68526,3.02401,-1.56198,0.852986,3.04398,-1.54254,0.966921,3.11926
1676113744160066,-1.58825,0.677858,2.95911,-1.53235,1.03048,3.23392,-1.55393,0.885683,3.089,-1.58003,0.716478,2.98707,-1.56208,0.859396,3.03821,-1.54242,0.967214,3.11895
1676113744194956,-1.57222,0.729488,2.90103,-1.53293,1.02994,3.23583,-1.55377,0.890429,3.08671,-1.56401,0.768042,2.92894,-1.56121,0.858267,3.03797,-1.54419,0.945314,3.13154
1676113744225194,-1.57224,0.734051,2.90829,-1.53429,1.03039,3.24562,-1.5536,0.894619,3.09367,-1.56405,0.77254,2.93616,-1.56102,0.857483,3.03962,-1.54354,0.943482,3.13083
1676113744264735,-1.57226,0.736424,2.91048,-1.53399,1.03138,3.2455,-1.5535,0.895514,3.09538,-1.56408,0.774818,2.93828,-1.56098,0.857689,3.04097,-1.54221,0.955034,3.1409
1676113744294180,-1.57226,0.739311,2.91392,-1.53426,1.03412,3.24686,-1.55329,0.898207,3.09789,-1.56408,0.777694,2.94171,-1.5603,0.85905,3.04636,-1.54174,0.98383,3.13367
1676113744324960,-1.57884,0.67793,2.98008,-1.53604,1.03734,3.25586,-1.55366,0.901832,3.10674,-1.57254,0.733905,3.00975,-1.5604,0.859116,3.04663,-1.54226,0.978839,3.13261
1676113744362197,-1.57975,0.661735,3.02161,-1.53606,1.03752,3.25514,-1.5539,0.902968,3.10553,-1.57329,0.722043,3.04059,-1.56001,0.858317,3.04753,-1.54017,0.974384,3.1295
