timestamp,RH X ,RH Y,RH Z,RS X, RS Y,RS Z,RE X,RE Y,RE Z,RW X,RW Y,RW Z,LS X,LS Y,LS Z,LC X,LC Y,LC Z
1684796575753415,0.184633,-0.233262,0.852537,0.0696985,-0.202642,1.02544,0.0821234,-0.316144,0.947125,0.145764,-0.245907,0.848762,-0.172819,-0.240499,1.03205,-0.0500286,-0.141591,1.05007
1684796575769072,0.171097,-0.230633,0.871625,0.0955993,-0.115851,0.952096,0.129688,-0.218973,0.964015,0.211068,-0.186447,0.886296,-0.153327,-0.151514,0.958694,-0.0203181,-0.0569141,0.971944
1684796575799340,0.172168,-0.228935,0.873675,0.096226,-0.115582,0.952825,0.130266,-0.218987,0.964254,0.214448,-0.178594,0.894172,-0.1527,-0.151245,0.959422,-0.0196915,-0.0566451,0.972673
1684796575845360,0.22281,-0.186968,0.834666,0.108416,-0.113126,0.95588,0.137988,-0.218115,0.967109,0.209131,-0.167886,0.888239,-0.14051,-0.148789,0.962477,-0.00750128,-0.0541886,0.975728
1684796575876675,0.175027,-0.22657,0.876145,0.10777,-0.112628,0.956305,0.140612,-0.217109,0.966588,0.215063,-0.143766,0.916911,-0.141156,-0.148291,0.962903,-0.00814747,-0.0536914,0.976154
1684796575905591,0.225134,-0.160686,0.859201,0.113346,-0.111508,0.958604,0.141744,-0.217887,0.967594,0.21104,-0.141687,0.913622,-0.13558,-0.147171,0.965202,-0.00257106,-0.0525709,0.978453
1684796575935591,0.177333,-0.225466,0.876884,0.111234,-0.111175,0.958967,0.14373,-0.216539,0.968373,0.209703,-0.14108,0.908114,-0.137692,-0.146838,0.965564,-0.00468339,-0.0522378,0.978815
1684796575965978,0.178422,-0.224921,0.877536,0.110466,-0.11153,0.959836,0.1453,-0.216284,0.969568,0.206972,-0.135905,0.910964,-0.13846,-0.147193,0.966434,-0.00545159,-0.0525932,0.979684
1684796576010432,0.18008,-0.224484,0.877442,0.109418,-0.112186,0.960947,0.146316,-0.216701,0.969466,0.205177,-0.132191,0.913949,-0.139508,-0.147849,0.967544,-0.00649962,-0.0532494,0.980795
1684796576040585,0.18127,-0.224363,0.87709,0.112231,-0.113292,0.961265,0.146955,-0.21805,0.970282,0.200414,-0.128767,0.918059,-0.136695,-0.148955,0.967862,-0.00368644,-0.0543548,0.981113
