timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1676113653360755,0,-2,1,9,10,13,-2,8
1676113653360755,-4,-5,-2,-20,-15,-33,-4,-17
1676113653361756,-2,0,-2,-16,-13,-21,1,-9
1676113653361756,6,0,1,13,10,32,4,16
1676113653361756,-1,-6,-1,11,6,13,-2,7
1676113653361756,-3,0,1,-3,4,-16,-2,-10
1676113653364755,-3,0,-1,-16,-15,-26,-2,-14
1676113653364755,5,3,-4,9,6,29,4,11
1676113653373749,3,3,4,15,9,19,-1,7
1676113653373749,-6,-7,-9,-11,-2,-15,-4,-10
1676113653380746,-3,3,0,-16,-12,-23,-2,-12
1676113653380746,0,-11,-1,13,6,22,2,12
1676113653388740,-1,3,-5,10,9,12,0,7
1676113653388740,-2,0,0,-9,-10,-22,-3,-10
1676113653401732,1,5,0,-15,-8,-16,-1,-7
1676113653401732,2,4,5,12,8,22,-1,12
1676113653413726,-1,-3,3,6,7,6,0,5
1676113653413726,-3,-3,-8,-9,-6,-15,-3,-8
1676113653425719,-3,-3,0,-11,-8,-6,0,-6
1676113653425719,1,1,-2,11,5,19,2,7
1676113653433715,-2,-3,-2,-5,-2,1,-3,-3
1676113653433715,-3,2,3,-6,-3,-10,-2,-3
1676113653446707,2,1,3,5,1,-1,-1,1
1676113653446707,1,1,-4,-1,1,7,-1,5
1676113653487684,-3,-3,-1,-35,-17,-47,-3,-22
1676113653487684,2,2,3,5,-1,19,4,8
1676113653488683,2,0,-2,16,13,36,1,17
1676113653488683,-3,-10,-2,-6,-2,-15,-5,-8
1676113653489683,-6,3,-2,-17,-16,-36,-5,-17
1676113653489683,3,4,0,2,1,4,0,-1
1676113653492681,2,0,4,18,11,33,2,16
1676113653492681,-1,3,0,-2,0,-7,-2,-1
1676113653499676,-5,-5,-5,-19,-15,-36,-3,-17
1676113653499676,1,-2,0,1,1,1,3,0
1676113653507672,3,0,-2,11,10,31,4,13
1676113653507672,-4,0,1,3,2,-10,-3,-4
1676113653514668,-4,-2,0,-15,-11,-29,-3,-15
1676113653514668,1,0,-3,2,-2,9,0,4
1676113653529660,0,-3,-3,11,11,22,-1,11
1676113653529660,-3,-6,-3,-10,-5,-11,-3,-5
1676113653536656,-2,4,-1,-15,-11,-17,-1,-9
1676113653536656,-1,-4,0,3,-1,9,0,3
1676113653551647,2,-7,0,13,10,10,-1,5
1676113653551647,-3,3,-2,-6,-5,-9,-3,-6
1676113653560642,-3,0,-1,-7,-6,-8,0,-5
1676113653560642,2,6,2,6,3,4,2,3
1676113653575634,1,-1,2,0,1,7,-1,2
1676113653575634,-2,-3,-5,-10,-6,-9,-1,-4
1676113653581630,0,-2,1,2,1,-7,-1,-5
1676113653581630,0,-3,-5,-4,-3,3,0,1
1676113653598619,-1,-3,-5,5,1,6,-1,3
1676113653598619,0,0,1,-1,-2,-3,1,0
1676113653599620,-1,1,-3,-4,-4,-6,-2,-3
1676113653599620,1,-1,1,-3,0,-2,-1,0
1676113653611614,-1,-2,2,6,5,5,0,2
1676113653611614,1,-2,-4,-4,-2,-2,-1,-2
1676113653620608,-1,-5,-1,-7,-6,-7,-4,-3
1676113653620608,1,0,1,-7,-1,3,2,2
1676113653635600,-1,-1,-4,0,-1,-2,-2,1
1676113653635600,-3,1,4,7,6,-1,-2,-3
1676113653637598,-2,-2,4,-2,-6,-6,-1,-2
1676113653637598,1,2,-6,-7,-1,3,-1,0
1676113653658586,0,3,-1,-1,-1,2,-1,0
1676113653658586,-3,-1,-1,-2,-6,-4,-2,-6
1676113653659586,0,-4,-4,2,2,-3,0,-1
1676113653659586,-2,-3,-1,-2,0,1,1,1
1676113653671579,0,1,2,7,1,0,0,-1
1676113653671579,0,3,1,1,0,-4,-1,1
1676113653688569,-2,1,3,-1,-2,0,-1,1
1676113653688569,-1,2,-1,2,0,1,-4,-1
1676113653695565,-1,-7,-3,-2,0,-1,-1,-1
1676113653695565,-3,-3,-5,-3,-2,-4,-3,-3
1676113653697564,0,2,-4,-1,-1,-3,0,-1
1676113653697564,-3,-4,-2,-6,-1,3,-2,-1
1676113653718552,-1,6,3,2,1,0,0,0
1676113653718552,0,0,4,-2,-4,-3,-1,-2
1676113653719551,-4,-4,-9,-7,-4,-4,1,-1
1676113653719551,-1,0,1,7,0,-1,0,-1
1676113653731544,-1,2,3,1,-2,2,-3,-1
1676113653731544,-1,0,3,3,6,-2,1,-1
1676113653740539,-1,-4,-7,-3,-2,1,0,-2
1676113653740539,-1,-1,0,1,-1,0,-1,-1
1676113653754531,-4,1,0,-3,-1,-2,-1,-3
1676113653754531,1,4,0,3,-1,-4,-1,0
1676113653761528,-1,1,-1,0,-3,-1,-2,-1
1676113653761528,0,-2,0,-3,-1,2,0,2
1676113653777519,-3,-14,-3,-2,-2,-2,-1,-2
1676113653777519,-2,1,-2,-6,-6,-1,0,-1
1676113653778517,0,4,7,6,3,3,2,-3
1676113653778517,-1,-1,-8,-1,1,1,-1,2
1676113653799505,1,0,-2,-4,-5,-6,-1,-2
1676113653799505,-2,-7,-8,2,7,-5,0,-2
1676113653800505,-1,3,12,-5,-8,6,2,3
1676113653800505,-1,-1,-4,-4,-6,-3,-3,0
1676113653815496,-2,0,-1,0,1,-2,1,-1
1676113653815496,0,-2,-2,-4,-6,-7,-1,-4
1676113653815496,-1,2,1,1,3,-2,-2,-3
1676113653815496,0,-4,2,6,4,4,-1,-1
1676113653837484,-2,2,-2,-6,-2,-6,-1,-2
1676113653837484,1,1,-2,-8,-6,-1,0,0
1676113653838483,1,5,4,15,12,0,-1,1
1676113653838483,0,1,0,-5,-3,4,0,0
1676113653861470,-1,-8,-5,-1,-1,-4,0,-3
1676113653861470,-4,0,1,0,0,-1,-2,-3
1676113653862469,0,-4,-7,-5,-6,1,-1,-1
1676113653862469,0,1,0,3,2,-1,1,2
1676113653874463,-1,5,-1,1,-1,-5,-2,-3
1676113653874463,-2,-6,-1,-3,-3,5,0,-2
1676113653882459,0,-7,-2,-3,-2,-1,-1,-1
1676113653882459,-3,2,4,6,2,-1,1,2
1676113653897449,1,0,-2,-1,0,-4,-3,1
1676113653897449,-2,2,4,-6,-3,-3,1,-2
1676113653898449,-2,-4,-8,1,3,-1,0,0
1676113653898449,-2,-3,-2,0,-2,4,-1,0
1676113653921436,-2,1,5,-3,2,0,0,-1
1676113653921436,-1,-3,-4,-3,-3,-3,-2,0
1676113653922436,1,4,1,-1,-3,0,1,1
1676113653922436,3,1,0,4,3,0,-1,-1
1676113653934428,0,2,1,2,-1,-2,-2,-1
1676113653934428,0,-4,-1,-6,0,3,0,1
1676113653941425,1,-2,-4,-1,-5,0,-2,-1
1676113653941425,0,1,3,4,3,5,-1,3
1676113653957416,-1,0,-3,1,1,-4,0,-1
